,Threshold,Accuracy,Precision,Recall,f1 Score
0,0.5,0.9966666666666667,0.9968501019084677,0.9998141609366289,0.9983299313416218
1,0.51,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
2,0.52,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
3,0.53,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
4,0.54,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
5,0.55,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
6,0.56,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
7,0.57,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
8,0.58,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
9,0.59,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
10,0.6,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
11,0.61,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
12,0.62,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
13,0.63,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
14,0.64,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
15,0.65,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
16,0.66,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
17,0.67,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
18,0.68,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
19,0.69,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
20,0.7,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
21,0.71,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
22,0.72,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
23,0.73,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
24,0.74,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
25,0.75,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
26,0.76,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
27,0.77,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
28,0.78,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
29,0.79,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
30,0.8,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
31,0.81,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
32,0.82,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
33,0.83,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
34,0.84,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
35,0.85,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
36,0.86,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
37,0.87,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
38,0.88,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
39,0.89,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
40,0.9,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
41,0.91,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
42,0.92,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
43,0.93,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
44,0.94,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
45,0.95,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
