,Threshold,Accuracy,Precision,Recall,f1 Score
0,0.5,0.98,0.9994317105512408,0.9804868983460323,0.9898686679174484
1,0.51,0.9829629629629629,0.9994334277620397,0.9834603233599702,0.9913825402772575
2,0.52,0.9848148148148148,0.9988702692524948,0.9858762311837949,0.9923307145529368
3,0.53,0.987037037037037,0.9988728160811572,0.9881062999442483,0.9934603886397607
4,0.54,0.9896296296296296,0.9988757729061271,0.990708046831444,0.9947751446165329
5,0.55,0.9905555555555555,0.9988768251591165,0.9916372421482996,0.9952438683204327
6,0.56,0.9914814814814815,0.998504952345356,0.9929381155918974,0.9957137532612746
7,0.57,0.9933333333333333,0.9985077410930796,0.9947965062256087,0.9966486687767641
8,0.58,0.9940740740740741,0.9985088536812675,0.9955398624790931,0.9970221477759167
9,0.59,0.9942592592592593,0.9981378026070763,0.9960973796692064,0.9971165472979258
10,0.6,0.995,0.9981391886862672,0.996840735922691,0.9974895397489539
11,0.61,0.995,0.9979538690476191,0.9970265749860621,0.9974900065073905
12,0.62,0.9955555555555555,0.9979550102249489,0.9975840921761754,0.9977695167286246
13,0.63,0.9961111111111111,0.9979561501300632,0.9981416093662888,0.9980488711325839
14,0.64,0.9964814814814815,0.9979569093610698,0.998513287493031,0.9982350209010683
15,0.65,0.9964814814814815,0.9979569093610698,0.998513287493031,0.9982350209010683
16,0.66,0.9972222222222222,0.9979584261321455,0.9992566437465156,0.9986071130095645
17,0.67,0.9975925925925926,0.9979591836734694,0.9996283218732578,0.9987930554266085
18,0.68,0.9975925925925926,0.9979591836734694,0.9996283218732578,0.9987930554266085
19,0.69,0.9975925925925926,0.9977744807121661,0.9998141609366289,0.9987932794950339
20,0.7,0.9974074074074074,0.9975894678286668,0.9998141609366289,0.9987005754594394
21,0.71,0.9974074074074074,0.9975894678286668,0.9998141609366289,0.9987005754594394
22,0.72,0.9974074074074074,0.9975894678286668,0.9998141609366289,0.9987005754594394
23,0.73,0.9975925925925926,0.9975899147200593,1.0,0.9987935034802784
24,0.74,0.9975925925925926,0.9975899147200593,1.0,0.9987935034802784
25,0.75,0.9975925925925926,0.9975899147200593,1.0,0.9987935034802784
26,0.76,0.9975925925925926,0.9975899147200593,1.0,0.9987935034802784
27,0.77,0.9974074074074074,0.9974050046339203,1.0,0.9987008166295471
28,0.78,0.9974074074074074,0.9974050046339203,1.0,0.9987008166295471
29,0.79,0.9974074074074074,0.9974050046339203,1.0,0.9987008166295471
30,0.8,0.9972222222222222,0.9972201630837657,1.0,0.998608146979679
31,0.81,0.9972222222222222,0.9972201630837657,1.0,0.998608146979679
32,0.82,0.997037037037037,0.997035390031499,1.0,0.9985154945258861
33,0.83,0.997037037037037,0.997035390031499,1.0,0.9985154945258861
34,0.84,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
35,0.85,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
36,0.86,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
37,0.87,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
38,0.88,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
39,0.89,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
40,0.9,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
41,0.91,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
42,0.92,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
43,0.93,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
44,0.94,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
45,0.95,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
