,Threshold,Accuracy,Precision,Recall,f1 Score
0,0.5,0.5707407407407408,0.999673735725938,0.5694108901691135,0.7255505564764386
1,0.51,0.5987037037037037,0.9996890547263682,0.5974725887381528,0.7479353262766081
2,0.52,0.6288888888888889,0.9997040544539805,0.6277643560676455,0.7712328767123288
3,0.53,0.6570370370370371,0.9997167941093175,0.6560118937000557,0.7921903052064632
4,0.54,0.6907407407407408,0.9994616419919247,0.6900204422969708,0.8164028144239227
5,0.55,0.72,0.9994836044410018,0.7193830143096078,0.8366111951588502
6,0.56,0.7475925925925926,0.9995027349577325,0.7470730347519049,0.8550462618313305
7,0.57,0.7759259259259259,0.9995209580838323,0.7755064114476863,0.8733779824194223
8,0.58,0.7994444444444444,0.99953509995351,0.7991079724958187,0.8881544975730662
9,0.59,0.820925925925926,0.9995473064735174,0.8206653038468686,0.9013164608633535
10,0.6,0.845925925925926,0.9995607291895453,0.8457535774019699,0.916247231729414
11,0.61,0.8679629629629629,0.9991445680068435,0.8682401040698755,0.9291041065924232
12,0.62,0.8848148148148148,0.999160897839312,0.8851514588366475,0.9387071344107213
13,0.63,0.9020370370370371,0.9991769547325103,0.9024344917301617,0.9483448881945121
14,0.64,0.9175925925925926,0.9987873888439773,0.9184166511800781,0.9569174169813147
15,0.65,0.9322222222222222,0.9986080731755816,0.9332837762497677,0.9648414985590777
16,0.66,0.9437037037037037,0.9984292165717652,0.9449916372421483,0.9709757494748903
17,0.67,0.9540740740740741,0.9984463002524762,0.9553986247909311,0.9764482431149096
18,0.68,0.9622222222222222,0.9984594646639707,0.9635755435792603,0.9807073954983921
19,0.69,0.9696296296296296,0.9984712402063826,0.9710091061141052,0.9845487092519314
20,0.7,0.9753703703703703,0.9984802431610942,0.97677011707861,0.9875058713010803
21,0.71,0.9811111111111112,0.9983009250519161,0.9827169671064858,0.9904476493725417
22,0.72,0.9861111111111112,0.9983095416979715,0.987734621817506,0.9929939280709948
23,0.73,0.9885185185185185,0.9983136593591906,0.9901505296413307,0.9942153386825902
24,0.74,0.9903703703703703,0.998130491680688,0.992194759338413,0.9951537744641193
25,0.75,0.9922222222222222,0.9981339802201903,0.9940531499721241,0.9960893854748604
26,0.76,0.9937037037037038,0.9981367616918204,0.9955398624790931,0.9968366207666542
27,0.77,0.9940740740740741,0.9977666108319375,0.9962832187325776,0.9970243630277106
28,0.78,0.9948148148148148,0.997768272270783,0.9970265749860621,0.9973972857408441
29,0.79,0.9959259259259259,0.997585886722377,0.9983274484296599,0.9979565298160877
30,0.8,0.9962962962962963,0.9975867829961017,0.9986991265564021,0.9981426448736999
31,0.81,0.9966666666666667,0.9975876786045649,0.9990708046831444,0.9983286908077995
32,0.82,0.9966666666666667,0.9975876786045649,0.9990708046831444,0.9983286908077995
33,0.83,0.9968518518518519,0.9974035608308606,0.9994424828098867,0.9984219808781213
34,0.84,0.9966666666666667,0.9972186167253848,0.9994424828098867,0.9983293113049935
35,0.85,0.9972222222222222,0.9972201630837657,1.0,0.998608146979679
36,0.86,0.997037037037037,0.997035390031499,1.0,0.9985154945258861
37,0.87,0.997037037037037,0.997035390031499,1.0,0.9985154945258861
38,0.88,0.997037037037037,0.997035390031499,1.0,0.9985154945258861
39,0.89,0.997037037037037,0.997035390031499,1.0,0.9985154945258861
40,0.9,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
41,0.91,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
42,0.92,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
43,0.93,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
44,0.94,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
45,0.95,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
