field,fieldtype,from,fromString,to,toString,key,created,author,project
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-164,2020-04-30T14:27:32.878+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-164,2020-05-10T16:52:57.884+0200,wslany,PAINTROID
Story Points,custom,,,,5,PAINTROID-163,2020-04-30T14:26:41.174+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-163,2020-04-30T14:27:25.992+0200,thomasschwengler,PAINTROID
Link,jira,,,PAINTROID-160,This issue relates to PAINTROID-160,PAINTROID-163,2020-05-10T16:41:21.102+0200,wslany,PAINTROID
Link,jira,,,PAINTROID-161,This issue relates to PAINTROID-161,PAINTROID-163,2020-05-10T16:41:21.180+0200,wslany,PAINTROID
description,jira,,"Depends on PAINTROID-160 / PAINTROID-161

Save image at regular intervals, restore on process exit",,"Save image in internal format (including layers, undo information) at regular intervals, whenever the phone is idle in between user actions. 

When the user saves the image and then exits the app in the normal way (i.e., without any additional edits), Paintroid can delete this temporary image data.

Background: 
* This is a two-star feedback of a user on Google Play: ""Айтуар Мұхарам Mar 15, 2020 at 12:50 PM Auto-translated from Russian - The application is good. BUT WHEN I DRAWED THE WHOLE 2 HOURS AT THE LAST MOMENT, THE APPLICATION JUST TURNED OFF AND THE FIGURE HAS NOT BEEN SAVED. And I tried so hard. It was a shame. He just laid. And I deleted it ."" 
* There were other similar reviews also, e.g., ""Spyro The Dragon Mar 8, 2020 at 12:50 AM Auto-translated from Spanish - It is a very good app in general, even without pocket code, but, constantly crashing me for no reason, it is very annoying since sometimes I lose progress in what I was doing or even lose what I was doing completely"". 
* And here's another one: ""Jacob Howie Jan 25, 2020 at 6:19 PM ... if you go off the app (not close it, just visit Google for instance) it will delete your current project."" 

This is also a simple solution for similar such cases, e.g., for Huawei phones with an aggressive battery saving mode as its default.

If we keep two such temporary copies, and only delete the previous one once the current one has been safely saved on persistent memory, there's no danger that data is lost while overwriting of the saved copy. If the saved copy is corrupted after restart, just use the earlier one. Only a single image data needs to be remembered in this way most of the time (besides when a new one is stored, for a short time, i.e., until the new one is safely stored). Once the app is restarted without being called with an image already selected, Paintroid could first check whether such temporary image data is present and is recent (within the last 60 minutes, e.g., maybe after a phone call), and if so, restore it, so that the user can continue from that place. It is also possible to ask the user in a small dialog whether he/she wants to resume, e.g., if the time is more than a minute ago. For below one minute, it should resume without asking --- there's always the option to delete the canvas anyway. It is OK if only the very last actions are lost, which might be unavoidable, but at least most of the work will have been saved and remembered. ",PAINTROID-163,2020-05-10T17:03:03.429+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-162,2020-04-30T14:20:48.861+0200,thomasschwengler,PAINTROID
description,jira,,Current stamp only allows to add. Cut & paste would allow to also grab and move parts of an image.,,"Current stamp only allows to add. Cut & paste would allow to also grab and move parts of an image.

Stamp tool in fact now becomes a copy/cut/paste tool.",PAINTROID-162,2020-05-10T16:10:53.748+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-161,2020-04-30T14:19:01.408+0200,thomasschwengler,PAINTROID
Link,jira,,,PAINTROID-160,This issue is blocked by PAINTROID-160,PAINTROID-161,2020-05-10T16:31:24.409+0200,wslany,PAINTROID
description,jira,,"Depends on PAINTROID-160

Also keeps undo history. Use some less heavy weight serialization/deserialization method. All commands serialized; last images also saved, so that no complete redo is necessary. Stamp tool does some difficult stuff",,"Depends on PAINTROID-160

Also keeps undo history. Use some lightweight serialization/deserialization method. All commands serialized; last images also saved, so that no complete redo is necessary. Note: the stamp tool does some complex stuff.",PAINTROID-161,2020-05-10T16:32:36.973+0200,wslany,PAINTROID
Link,jira,,,PAINTROID-163,This issue relates to PAINTROID-163,PAINTROID-161,2020-05-10T16:41:21.208+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-160,2020-04-30T14:19:08.266+0200,thomasschwengler,PAINTROID
description,jira,,Keeps layers. Use some less heavy weight serialization/deserialization method. (e.g. json with Moshi); new contract!!! file format versions! backwards compatibility in future; research how xcf format looks like as inspiration (gimp format) --- wikipedia entry,,"Keeps layers. Use some less heavy weight serialization/deserialization method. (e.g. json with Moshi); new contract!!! file format versions! backwards compatibility in future; 

research how xcf format looks like as inspiration (gimp format) --- wikipedia entry

References:
https://www.freedesktop.org/wiki/Specifications/OpenRaster/Draft/FileLayout/
https://gitlab.gnome.org/GNOME/gimp/-/blob/master/devel-docs/xcf.txt",PAINTROID-160,2020-04-30T15:43:46.026+0200,thomasschwengler,PAINTROID
Link,jira,,,PAINTROID-161,This issue blocks PAINTROID-161,PAINTROID-160,2020-05-10T16:31:24.401+0200,wslany,PAINTROID
description,jira,,"Keeps layers. Use some less heavy weight serialization/deserialization method. (e.g. json with Moshi); new contract!!! file format versions! backwards compatibility in future; 

research how xcf format looks like as inspiration (gimp format) --- wikipedia entry

References:
https://www.freedesktop.org/wiki/Specifications/OpenRaster/Draft/FileLayout/
https://gitlab.gnome.org/GNOME/gimp/-/blob/master/devel-docs/xcf.txt",,"Keeps layers. Use some lightweight serialization/deserialization method (e.g., json with Moshi); new contract!!! file format versions! backwards compatibility in future; 

research how xcf format looks like as inspiration (gimp format) --- wikipedia entry

References:
https://www.freedesktop.org/wiki/Specifications/OpenRaster/Draft/FileLayout/
https://gitlab.gnome.org/GNOME/gimp/-/blob/master/devel-docs/xcf.txt

Interface via side menu: ""Save in internal format"" / ""Export in internal format"" / ""Read in internal format"".

Save on external memory in public /Catrobat  folder.",PAINTROID-160,2020-05-10T16:38:50.604+0200,wslany,PAINTROID
Link,jira,,,PAINTROID-163,This issue relates to PAINTROID-163,PAINTROID-160,2020-05-10T16:41:21.120+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-159,2020-04-30T14:19:12.388+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-158,2020-04-30T14:19:16.918+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-157,2020-04-30T14:04:01.035+0200,thomasschwengler,PAINTROID
description,jira,,"open mail program with mailto:support-paintroid@catrobat.org

Also add to to rate-us dialog, make link clickable",,"open mail program with mailto:support-paintroid@catrobat.org

Also replace in rate-us dialog, and make the link there clickable (currently it is only text).",PAINTROID-157,2020-05-10T16:29:30.274+0200,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-157,2020-05-10T16:30:03.233+0200,wslany,PAINTROID
description,jira,,"open mail program with mailto:support-paintroid@catrobat.org

Also replace in rate-us dialog, and make the link there clickable (currently it is only text).",,"open mail program with mailto:support-paintroid@catrobat.org (this already works and redirects to [~WolfgangSlany]).

Also replace in rate-us dialog, and make the link there clickable (currently it is only text).",PAINTROID-157,2020-05-10T16:30:36.012+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-156,2020-04-30T14:04:04.870+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-155,2020-04-30T14:04:09.050+0200,thomasschwengler,PAINTROID
Story Points,custom,,,,5,PAINTROID-155,2020-05-10T15:52:42.516+0200,wslany,PAINTROID
description,jira,,"Ask user where to import image from
Add option to import from catroweb media library
Via webview or via Catroweb API",,"Ask user where to import image from.

Add option to import from Catroweb media library.

Via webview, which allows us to reuse 100% of the code of Catroid that does exactly the same thing for Pocket Code to import media assets. Note: in Paintroid, always use the generic ""app"" flavor (not the Pocket Code or Luna and Cat ones etc). Also, use only the webview for objects and actors (i.e., not the ones for portrait or landscape background images). ",PAINTROID-155,2020-05-10T16:24:39.456+0200,wslany,PAINTROID
summary,jira,,Insert image from catrobat media gallery,,Insert image from Catrobat media gallery,PAINTROID-155,2020-05-10T16:24:50.895+0200,wslany,PAINTROID
description,jira,,"Ask user where to import image from.

Add option to import from Catroweb media library.

Via webview, which allows us to reuse 100% of the code of Catroid that does exactly the same thing for Pocket Code to import media assets. Note: in Paintroid, always use the generic ""app"" flavor (not the Pocket Code or Luna and Cat ones etc). Also, use only the webview for objects and actors (i.e., not the ones for portrait or landscape background images). ",,"Ask user where to import image from.

Add option to import from Catrobat media library.

Via webview, which allows us to reuse 100% of the code of Catroid that does exactly the same thing for Pocket Code to import media assets. Note: in Paintroid, always use the generic ""app"" flavor (not the Pocket Code or Luna and Cat ones etc). Also, use only the webview for objects and actors (i.e., not the ones for portrait or landscape background images). 

Use the ""Catrobat"" logo, and the name ""Stickers"" for the button that allows the selection of this source option. ",PAINTROID-155,2020-05-10T16:26:07.288+0200,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-155,2020-05-10T16:26:17.507+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-154,2020-04-30T13:42:30.573+0200,thomasschwengler,PAINTROID
description,jira,,"Add ""Auto"" to the Auto-Crop Function",,"Add ""Auto"" to the Auto-Crop Function description",PAINTROID-154,2020-04-30T13:48:41.916+0200,thomasschwengler,PAINTROID
description,jira,,"Add ""Auto"" to the Auto-Crop Function description",,"Add ""Auto"" to the Auto-Crop description",PAINTROID-154,2020-04-30T13:48:47.820+0200,thomasschwengler,PAINTROID
summary,jira,,Auto Crop Icon,,"Add ""Auto"" to crop icon",PAINTROID-154,2020-04-30T13:49:08.424+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-154,2020-05-10T15:50:02.148+0200,wslany,PAINTROID
status,jira,10007,Ready For Development,10006,Backlog,PAINTROID-154,2020-05-10T15:51:20.779+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-153,2020-04-30T13:41:17.040+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-152,2020-04-30T13:39:09.365+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-152,2020-05-10T15:59:10.544+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-151,2020-04-30T13:38:06.968+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-150,2020-04-30T13:33:49.751+0200,thomasschwengler,PAINTROID
Story Points,custom,,,,3,PAINTROID-150,2020-04-30T13:34:28.401+0200,thomasschwengler,PAINTROID
Story Points,custom,,,,5,PAINTROID-149,2020-04-30T13:30:22.888+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-149,2020-04-30T13:32:23.221+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-149,2020-05-10T17:05:43.026+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-148,2020-04-30T13:28:26.309+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-147,2020-04-30T13:10:32.342+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-147,2020-05-10T17:05:07.816+0200,wslany,PAINTROID
Story Points,custom,,,,5,PAINTROID-146,2020-04-30T13:03:19.110+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-146,2020-04-30T13:10:29.447+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-145,2020-04-30T13:10:25.306+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-144,2020-04-30T14:29:38.585+0200,wslany,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-144,2020-04-30T14:29:43.040+0200,wslany,PAINTROID
Rank,custom,,,,Ranked higher,PAINTROID-144,2020-05-01T08:43:35.088+0200,wslany,PAINTROID
Actual Behavior,custom,,"When the text is on the screen but not accepted, when you switch to a different tool, the text dissapears",,"When the text is on the screen but not accepted, when you switch to a different tool, the text disappears",PAINTROID-143,2020-04-27T19:01:59.205+0200,wslany,PAINTROID
Expected Behavior,custom,,When selecting a different tool the text should just stay in its current form on the screen.,,When selecting a different tool the text should be stamped in its current form on the canvas.,PAINTROID-143,2020-04-27T19:02:25.045+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-143,2020-04-27T19:02:34.182+0200,wslany,PAINTROID
summary,jira,,Textfield should stay when selecting a different tool,,Text tool should be applied implicitly when switching to a different tool,PAINTROID-143,2020-04-27T19:04:01.556+0200,wslany,PAINTROID
description,jira,,"The main reason a user clicks on the text and puts in the textfield and then says ok, is to actually set it there. So the expected behaviour would be as described above.",,"The main reason a user clicks on the text and puts in the text field and then says ok, is to actually set it there. So the expected behavior would be as described above.

 

In case the text after all was not intended (which is the secondary case), the user still can tap on Undo. ",PAINTROID-143,2020-04-27T19:04:44.001+0200,wslany,PAINTROID
description,jira,,"The main reason a user clicks on the text and puts in the text field and then says ok, is to actually set it there. So the expected behavior would be as described above.

 

In case the text after all was not intended (which is the secondary case), the user still can tap on Undo. ",,"The main reason a user clicks on the text and puts in the text field and then says ok, is to actually set it there. So the expected behavior would be as described above.

 In case the text after all was not intended (which is the secondary case), the user still can tap on Undo. ",PAINTROID-143,2020-04-27T19:04:51.180+0200,wslany,PAINTROID
description,jira,,"The main reason a user clicks on the text and puts in the text field and then says ok, is to actually set it there. So the expected behavior would be as described above.

 In case the text after all was not intended (which is the secondary case), the user still can tap on Undo. ",,"The main reason a user clicks on the text and puts in the text field and then says ok, is to actually set it there. So the expected behavior would be as described above.

In case the text after all was not intended (which is the secondary case), the user still can tap on Undo. ",PAINTROID-143,2020-04-27T19:04:59.111+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-142,2020-04-26T11:56:58.858+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-141,2020-04-26T10:37:35.601+0200,wslany,PAINTROID
summary,jira,,No feedback where images are saved or copied to.,,No feedback where images are saved or copied to,PAINTROID-141,2020-04-26T11:24:32.815+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-140,2020-04-26T10:27:44.888+0200,wslany,PAINTROID
Comment,jira,As i remember this is actually not a bug but intended. It was implemented to avoid moving the tool if the user places the tool carefully and when removing his finger from the screen moves the tool a little bit due to jittering.,,,,PAINTROID-140,2020-04-26T15:22:25.404+0200,tobiasstangl,PAINTROID
Link,jira,,,PAINTROID-101,This issue is fixed by PAINTROID-101,PAINTROID-140,2020-04-26T15:35:04.766+0200,wslany,PAINTROID
status,jira,10612,Bug Backlog,10212,Rejected,PAINTROID-140,2020-04-26T15:37:30.429+0200,wslany,PAINTROID
Comment,jira,"[~TobiasStangl] you are right. Well, the current way it is solved the object also jumps if you move slowly, so that's certainly not the way it was meant to solve the jitter issue, and makes not much sense as it is currently implemented. Fortunately we have found a perfect way in Catroid to solve the same issue there, which can now be copied in the same way in Paintroid. We discussed and estimated the corresponding ticket at the last Paintroid planning game already, PAINTROID-101, but it was not scheduled so far. I'm now moving it into ready for development and mark this ticket as a duplicate and reject it.",,,,PAINTROID-140,2020-04-26T15:54:51.847+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-139,2020-04-26T09:05:38.337+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-138,2020-04-25T18:53:16.364+0200,wslany,PAINTROID
summary,jira,,Stamp tool should capture area only from current ayer,,Stamp tool should capture area only from current layer,PAINTROID-137,2020-04-24T12:57:58.544+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-137,2020-04-24T12:58:07.755+0200,wslany,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-137,2020-04-30T14:30:01.260+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-136,2020-04-23T12:35:55.568+0200,wslany,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-136,2020-04-23T15:22:26.100+0200,wslany,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-136,2020-04-23T15:23:47.479+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-136,2020-04-23T15:23:47.479+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-136,2020-04-23T15:23:47.479+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-136,2020-04-24T11:18:56.985+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-136,2020-04-24T11:18:56.985+0200,tobiasstangl,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-136,2020-04-26T14:56:26.729+0200,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-136,2020-04-26T15:05:40.769+0200,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-136,2020-04-26T15:05:40.769+0200,sebastiangrief,PAINTROID
Code Reviewer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-136,2020-04-26T15:05:40.769+0200,sebastiangrief,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-136,2020-04-26T15:55:29.896+0200,wslany,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-136,2020-04-26T16:37:43.211+0200,wslany,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-136,2020-04-26T16:37:43.211+0200,wslany,PAINTROID
Code Merger,custom,,,wslany,Wolfgang Slany,PAINTROID-136,2020-04-26T16:37:43.211+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-135,2020-04-23T09:35:55.882+0200,wslany,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-135,2020-04-23T09:36:06.789+0200,wslany,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-135,2020-04-23T09:37:03.863+0200,sebastiangrief,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-135,2020-04-23T09:37:03.863+0200,sebastiangrief,PAINTROID
Developer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-135,2020-04-23T09:37:03.863+0200,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-135,2020-04-26T15:06:36.434+0200,sebastiangrief,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-135,2020-04-26T15:06:36.434+0200,sebastiangrief,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-135,2020-04-26T15:13:42.546+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,sebastiangrief,Sebastian Grief,PAINTROID-135,2020-04-26T15:14:27.725+0200,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-135,2020-04-26T15:14:27.725+0200,tobiasstangl,PAINTROID
Code Reviewer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-135,2020-04-26T15:14:27.725+0200,tobiasstangl,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-135,2020-04-26T15:33:39.378+0200,sebastiangrief,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-135,2020-04-26T15:33:39.378+0200,sebastiangrief,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-135,2020-04-26T15:38:23.985+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-135,2020-04-26T15:38:26.055+0200,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-135,2020-04-26T15:38:26.055+0200,tobiasstangl,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-135,2020-04-26T15:55:27.330+0200,wslany,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-135,2020-04-26T16:22:11.564+0200,wslany,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-135,2020-04-26T16:22:11.564+0200,wslany,PAINTROID
Code Merger,custom,,,wslany,Wolfgang Slany,PAINTROID-135,2020-04-26T16:22:11.564+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-134,2020-03-17T19:02:59.119+0100,wslany,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-134,2020-04-02T12:50:12.872+0200,thomasschwengler,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-134,2020-04-22T16:27:58.571+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-134,2020-04-22T16:27:58.571+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-134,2020-04-22T16:27:58.571+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-134,2020-04-23T12:30:20.497+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-134,2020-04-23T12:30:20.497+0200,tobiasstangl,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-134,2020-04-30T11:28:53.022+0200,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-134,2020-04-30T12:13:45.112+0200,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-134,2020-04-30T12:13:45.112+0200,sebastiangrief,PAINTROID
Code Reviewer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-134,2020-04-30T12:13:45.112+0200,sebastiangrief,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-134,2020-04-30T14:31:07.095+0200,wslany,PAINTROID
assignee,jira,wslany,Wolfgang Slany,tobiasstangl,Tobias Stangl,PAINTROID-134,2020-04-30T14:31:10.272+0200,wslany,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-134,2020-04-30T14:31:10.272+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-133,2020-03-12T12:26:23.190+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-133,2020-03-12T12:26:34.088+0100,thomasschwengler,PAINTROID
RemoteIssueLink,jira,,,12922,"This issue links to ""Page (Catrobat Confluence)""",PAINTROID-133,2020-03-12T12:27:23.553+0100,thomasschwengler,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-133,2020-03-14T16:31:22.536+0100,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-133,2020-03-14T16:31:22.536+0100,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-133,2020-03-14T16:31:22.536+0100,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-133,2020-03-15T13:57:13.324+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-133,2020-03-15T13:57:13.324+0100,tobiasstangl,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-133,2020-03-30T20:29:59.536+0200,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-133,2020-03-30T20:35:12.746+0200,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-133,2020-03-30T20:35:12.746+0200,sebastiangrief,PAINTROID
Code Reviewer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-133,2020-03-30T20:35:12.746+0200,sebastiangrief,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-133,2020-03-31T23:25:22.523+0200,wslany,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-133,2020-04-01T07:36:58.045+0200,wslany,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-133,2020-04-01T07:36:58.045+0200,wslany,PAINTROID
Code Merger,custom,,,wslany,Wolfgang Slany,PAINTROID-133,2020-04-01T07:36:58.045+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-132,2020-03-12T12:11:33.222+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-132,2020-03-12T12:11:42.224+0100,thomasschwengler,PAINTROID
RemoteIssueLink,jira,,,12921,"This issue links to ""Page (Catrobat Confluence)""",PAINTROID-132,2020-03-12T12:11:56.058+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-131,2020-02-11T18:21:37.693+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-131,2020-02-11T18:21:40.441+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-130,2020-02-11T18:21:30.315+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-130,2020-02-11T18:21:33.147+0100,wslany,PAINTROID
Rank,custom,,,,Ranked higher,PAINTROID-130,2020-03-19T14:32:20.485+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-129,2020-02-11T18:21:22.055+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-129,2020-02-11T18:21:57.559+0100,wslany,PAINTROID
assignee,jira,,,georgroth,Georg Roth,PAINTROID-129,2020-03-18T11:39:08.751+0100,georgroth,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-129,2020-03-18T11:39:08.751+0100,georgroth,PAINTROID
Developer,custom,,,georgroth,Georg Roth,PAINTROID-129,2020-03-18T11:39:08.751+0100,georgroth,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-128,2020-02-11T18:21:13.854+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-128,2020-02-11T18:21:16.590+0100,wslany,PAINTROID
assignee,jira,,,georgroth,Georg Roth,PAINTROID-128,2020-03-09T15:59:50.458+0100,georgroth,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-128,2020-03-09T15:59:50.458+0100,georgroth,PAINTROID
Developer,custom,,,georgroth,Georg Roth,PAINTROID-128,2020-03-09T15:59:50.458+0100,georgroth,PAINTROID
assignee,jira,georgroth,Georg Roth,,,PAINTROID-128,2020-03-19T14:28:05.349+0100,georgroth,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-128,2020-03-19T14:28:05.349+0100,georgroth,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-128,2020-04-20T14:20:59.791+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,georgroth,Georg Roth,PAINTROID-128,2020-04-20T14:21:01.615+0200,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-128,2020-04-20T14:21:01.615+0200,tobiasstangl,PAINTROID
Code Reviewer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-128,2020-04-20T14:21:01.615+0200,tobiasstangl,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-127,2020-02-11T18:21:09.416+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-127,2020-02-11T18:21:45.776+0100,wslany,PAINTROID
